, old, new, diff
, 20100611, 20100804, 20100929, 
ABI_SOLID
mapped_giga_bp, 1032.748788329, 698.315262089, -334.43352624, 
num_individuals, 60, 66, 6, 
num_ind_gt_10g, 56, 25, -31, 
ILLUMINA
mapped_giga_bp, 7074.300842215, 8487.563001773, 1413.262159558, 
num_individuals, 508, 616, 108, 
num_ind_gt_10g, 375, 441, 66, 
LS454
mapped_giga_bp, 187.557545655, 187.557545655, 0, 
num_individuals, 23, 23, 0, 
num_ind_gt_10g, 7, 7, 0, 
Total
mapped_giga_bp, 8294.607176199, 9373.435809517, 1078.828633318, 
num_individuals, 539, 653, 114, 
num_ind_gt_10g, 423, 470, 47, 


Population breakdown

old - 20100611
, ASW, CEU, CHB, CHS, CLM, FIN, GBR, IBS, JPT, LWK, MXL, PUR, TSI, YRI, total_by_platform
ABI_SOLID, 31.923138099, 545.558626466, 150.36917297, 0, 0, 0, 0, 0, 96.119394365, 74.946572589, 0, 0, 0, 133.83188384, 1032.748788329, 
ILLUMINA, 482.531576283, 1181.819437059, 743.304872476, 41.981625444, 0, 0, 116.925082131, 0, 1293.425824688, 837.649682113, 179.850895334, 0, 1147.906908864, 1048.904937823, 7074.300842215, 
LS454, 0, 162.389393826, 0, 0, 0, 0, 0, 0, 12.16293002, 0, 0, 0, 0, 13.005221809, 187.557545655, 
total_by_pop, 514.454714382, 1889.767457351, 893.674045446, 41.981625444, 0, 0, 116.925082131, 0, 1401.708149073, 912.596254702, 179.850895334, 0, 1147.906908864, 1195.742043472, 8294.607176199, 

new - 20100804
, ASW, CEU, CHB, CHS, CLM, FIN, GBR, IBS, JPT, LWK, MXL, PUR, TSI, YRI, total_by_platform
ABI_SOLID, 31.923138099, 234.421054952, 150.36917297, 80.642506802, 0, 0, 0, 0, 52.406224564, 52.696109972, 0, 0, 0, 95.85705473, 698.315262089, 
ILLUMINA, 535.736475837, 1209.426641634, 780.374252468, 148.742550427, 0, 211.961782437, 497.739010183, 0, 1427.397882758, 1050.950568368, 269.567779622, 33.641366397, 1273.119753819, 1048.904937823, 8487.563001773, 
LS454, 0, 162.389393826, 0, 0, 0, 0, 0, 0, 12.16293002, 0, 0, 0, 0, 13.005221809, 187.557545655, 
total_by_pop, 567.659613936, 1606.237090412, 930.743425438, 229.385057229, 0, 211.961782437, 497.739010183, 0, 1491.967037342, 1103.64667834, 269.567779622, 33.641366397, 1273.119753819, 1157.767214362, 9373.435809517, 
