, old, new, diff
, phase1, 20111114, 20120312, 
ABI_SOLID
mapped_giga_bp, 2910.77, 2686.21, -224.56, 
num_individuals, 142, 194, 52, 
num_ind_gt_10g, 139, 140, 1, 
ILLUMINA
mapped_giga_bp, 14523.47, 21048.87, 6525.4, 
num_individuals, 946, 1234, 288, 
num_ind_gt_10g, 865, 1154, 289, 
LS454
mapped_giga_bp, 138.79, 175.88, 37.09, 
num_individuals, 15, 21, 6, 
num_ind_gt_10g, 6, 6, 0, 
Total
mapped_giga_bp, 17573.03, 23910.95, 6337.92, 
num_individuals, 1094, 1435, 341, 
num_ind_gt_10g, 1010, 1300, 290, 


Population breakdown

old - phase1
, ACB, ASW, CDX, CEU, CHB, CHS, CLM, FIN, GBR, GIH, IBS, JPT, KHV, LWK, MXL, PEL, PUR, TSI, YRI, total_by_platform
ABI_SOLID, 0, 254.18, 0, 0, 308.92, 97.54, 229.01, 348.75, 402.20, 0, 178.42, 212.39, 0, 322.27, 268.29, 0, 32.61, 0, 256.17, 2910.77, 
ILLUMINA, 0, 899.77, 0, 1209.46, 1041.90, 1200.90, 926.67, 959.78, 1012.09, 0, 83.02, 1495.27, 0, 1378.97, 946.71, 0, 933.10, 1309.67, 1126.17, 14523.47, 
LS454, 0, 0, 0, 138.79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138.79, 
total_by_pop, 0, 1153.95, 0, 1348.25, 1350.82, 1298.45, 1155.68, 1308.53, 1414.29, 0, 261.44, 1707.66, 0, 1701.24, 1215.00, 0, 965.71, 1309.67, 1382.34, 17573.03, 

new - 20111114
, ACB, ASW, CDX, CEU, CHB, CHS, CLM, FIN, GBR, GIH, IBS, JPT, KHV, LWK, MXL, PEL, PUR, TSI, YRI, total_by_platform
ABI_SOLID, 39.60, 183.20, 83.77, 0, 241.85, 70.88, 187.85, 301.25, 313.12, 48.59, 183.83, 241.12, 42.14, 267.24, 200.82, 29.79, 33.67, 0, 217.49, 2686.21, 
ILLUMINA, 308.81, 978.71, 1428.52, 1358.55, 1149.78, 1239.03, 1019.51, 1031.90, 1215.50, 201.68, 849.42, 1774.09, 1117.38, 1404.94, 1075.02, 689.90, 1327.56, 1404.49, 1474.08, 21048.87, 
LS454, 0, 0, 0, 156.39, 0, 0, 0, 0, 0, 0, 0, 6.69, 0, 0, 0, 0, 0, 0, 12.81, 175.88, 
total_by_pop, 348.41, 1161.92, 1512.29, 1514.94, 1391.63, 1309.91, 1207.36, 1333.16, 1528.62, 250.26, 1033.25, 2021.89, 1159.52, 1672.18, 1275.84, 719.69, 1361.23, 1404.49, 1704.37, 23910.95, 
