Category, old, new, diff
Date, 20101004, 20101019, 20101019, 

# Accessions, 13263, 13321, 58, 

# Samples, 972, 994, 22, 

# Samples greater than 10Gb, 928, 964, 36, 

Population in Gb, 
ASW, 1387.047351872, 1387.047351872, 0, 
CEU, 2310.062450501, 2400.228533063, 90.1660825620002, 
CHB, 1477.224161734, 1486.634616562, 9.41045482799996, 
CHS, 876.901451941, 887.054817925, 10.1533659839999, 
CLM, 788.476578114, 1041.639395361, 253.162817247, 
FIN, 1355.545411943, 1398.391473643, 42.8460616999998, 
GBR, 1559.437789566, 1599.952827975, 40.515038409, 
IBS, 378.83089865, 378.83089865, 0, 
JPT, 2431.329733102, 2438.075203582, 6.74547048000022, 
LWK, 2099.446129158, 2106.02514615, 6.57901699200011, 
MXL, 1469.932681264, 1559.067756511, 89.135075247, 
PUR, 581.612153513, 758.143384079, 176.531230566, 
TSI, 1467.705319651, 1478.965643407, 11.2603237559999, 
YRI, 2068.561112026, 2068.561112026, 0, 
total, 20252.113223035, 20988.618160806, 736.504937770998, 


Platform in Gb, 
ABI_SOLID, 4850.66604695, 4943.414634025, 92.7485870749997, 
ILLUMINA, 15203.418473498, 15847.174824194, 643.756350696, 
LS454, 198.028702587, 198.028702587, 0, 
total, 20252.113223035, 20988.618160806, 736.504937770998, 


Center in Gb, 
454MSC, 64.029026829, 64.029026829, 0, 
ABI, 207.9323201, 257.834845475, 49.902525375, 
BCM, 4445.330758627, 4488.176820327, 42.8460617000001, 
BGI, 2570.982097946, 2570.982097946, 0, 
BI, 4796.441994025, 5378.426833417, 581.984839392, 
ILLUMINA, 707.092988396, 707.092988396, 0, 
MPIMG, 485.748273765, 485.748273765, 0, 
SC, 4958.474028615, 5020.245539919, 61.7715113040003, 
WUGSC, 2016.081734732, 2016.081734732, 0, 
total, 20252.113223035, 20988.618160806, 736.504937770998, 


