Category, old, new, diff
Date, 20121211, 20130218, 20130220, 

# Accessions, 18316, 18438, 122, 

# Samples, 1652, 1696, 44, 

# Samples greater than 10Gb, 1596, 1640, 44, 

Population in Gb, 
ACB, 1682.41, 1711.45, 29.04, 
ASW, 1138.76, 1180.01, 41.25, 
BEB, 929.50, 968.30, 38.8, 
CDX, 1519.37, 1519.37, 0, 
CEU, 1240.73, 1240.73, 0, 
CHB, 578.27, 578.27, 0, 
CHS, 1612.79, 1612.79, 0, 
CLM, 1441.57, 1560.02, 118.45, 
ESN, 1561.58, 1588.18, 26.6000000000001, 
FIN, 1093.48, 1259.11, 165.63, 
GBR, 1436.26, 1634.10, 197.84, 
GIH, 1556.19, 1556.19, 0, 
GWD, 3014.09, 3014.09, 0, 
IBS, 1552.94, 1773.84, 220.9, 
ITU, 752.05, 752.05, 0, 
JPT, 1785.99, 1785.99, 0, 
KHV, 1993.75, 1993.75, 0, 
LWK, 1795.17, 1815.56, 20.3899999999999, 
MSL, 1617.10, 1636.72, 19.6200000000001, 
MXL, 1260.87, 1282.63, 21.7600000000002, 
PEL, 1471.80, 1471.80, 0, 
PJL, 1103.10, 1103.10, 0, 
PUR, 1791.31, 1791.31, 0, 
STU, 924.82, 924.82, 0, 
TSI, 182.57, 264.66, 82.09, 
YRI, 1091.65, 1215.83, 124.18, 
total, 36128.15, 37234.69, 1106.54, 


Platform in Gb, 
ILLUMINA, 36128.15, 37234.69, 1106.54, 
total, 36128.15, 37234.69, 1106.54, 


Center in Gb, 
BCM, 466.72, 466.72, 0, 
BGI, 5257.41, 5257.41, 0, 
BI, 13739.16, 13772.63, 33.4699999999993, 
ILLUMINA, 1495.04, 1495.04, 0, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 430.61, 1396.05, 965.44, 
SC, 10960.08, 11067.71, 107.629999999999, 
WUGSC, 3760.84, 3760.84, 0, 
total, 36128.15, 37234.69, 1106.54, 


