Category, old, new, diff
Date, 20101101, 20101123, 20110203, 

# Accessions, 13452, 13576, 124, 

# Samples, 1103, 1131, 28, 

# Samples greater than 10Gb, 1078, 1116, 38, 

Population in Gb, 
ASW, 1498.134449072, 1590.100567772, 91.9661186999999, 
CEU, 2400.228533063, 2393.626181856, -6.60235120700008, 
CHB, 1536.812499362, 1896.343436815, 359.530937453, 
CHS, 1618.774330641, 1618.774330641, 0, 
CLM, 1237.279314321, 1608.400324784, 371.121010463, 
FIN, 1552.975159422, 1765.006854042, 212.03169462, 
GBR, 1714.847745344, 2001.510068942, 286.662323598, 
IBS, 378.83089865, 512.0339843, 133.20308565, 
JPT, 2530.920332832, 2580.988993656, 50.0686608239998, 
LWK, 2197.58268105, 2324.2857118, 126.70303075, 
MXL, 1701.550511563, 1634.635712656, -66.9147989070002, 
PUR, 1406.864451465, 1265.829285439, -141.035166026, 
TSI, 1478.965643407, 1404.569490205, -74.3961532020001, 
YRI, 2162.260261626, 2121.069282628, -41.190978998, 
total, 23416.026811818, 24717.174225536, 1301.147413718, 


Platform in Gb, 
ABI_SOLID, 5745.635011925, 6896.30533869, 1150.670326765, 
ILLUMINA, 17472.363097306, 17639.569938772, 167.206841466003, 
LS454, 198.028702587, 181.298948074, -16.729754513, 
total, 23416.026811818, 24717.174225536, 1301.147413718, 


Center in Gb, 
454MSC, 64.029026829, 54.858098872, -9.170927957, 
ABI, 257.834845475, 289.70344395, 31.868598475, 
BCM, 4488.176820327, 4992.196772027, 504.0199517, 
BGI, 3928.055921435, 4238.295535074, 310.239613639, 
BI, 5893.102424852, 5511.473771316, -381.628653536, 
ILLUMINA, 707.092988396, 707.092988396, 0, 
MPIMG, 996.017253165, 1551.278385486, 555.261132321, 
SC, 4985.974198107, 5267.66969238, 281.695494273, 
WUGSC, 2095.743333232, 2104.605538035, 8.86220480299971, 
total, 23416.026811818, 24717.174225536, 1301.147413718, 


