Category, old, new, diff
Date, 20110920, 20111114, 20111220, 

# Accessions, 10060, 12411, 2351, 

# Samples, 1183, 1567, 384, 

# Samples greater than 10Gb, 835, 1113, 278, 

Population in Gb, 
ACB, , 359.54, 359.54, 
ASW, 653.57, 731.59, 78.02, 
CDX, , 879.73, 879.73, 
CEU, 1389.36, 1389.36, 0, 
CHB, 1251.34, 1251.34, 0, 
CHS, 1013.76, 1018.95, 5.19000000000005, 
CLM, 728.99, 739.57, 10.58, 
FIN, 1018.69, 1035.49, 16.8, 
GBR, 1235.04, 1270.71, 35.6700000000001, 
GIH, , 709.28, 709.28, 
IBS, 300.55, 1398.22, 1097.67, 
JPT, 1368.90, 1368.90, 0, 
KHV, , 1225.04, 1225.04, 
LWK, 1485.31, 1511.00, 25.6900000000001, 
MXL, 736.97, 736.97, 0, 
PEL, , 1039.24, 1039.24, 
PUR, 983.63, 983.63, 0, 
TSI, 1296.71, 1296.71, 0, 
YRI, 1371.71, 1371.71, 0, 
total, 14834.54, 20316.96, 5482.42, 


Platform in Gb, 
ABI_SOLID, 5122.42, 6066.70, 944.28, 
ILLUMINA, 9712.12, 14250.27, 4538.15, 
total, 14834.54, 20316.96, 5482.42, 


Center in Gb, 
BCM, 5122.42, 6066.70, 944.28, 
BGI, 3370.36, 5547.95, 2177.59, 
BI, 4219.97, 5061.50, 841.53, 
WUGSC, 2121.79, 3640.82, 1519.03, 
total, 14834.54, 20316.96, 5482.42, 


