Category, old, new, diff
Date, 20110506, 20110521, 20110521, 

# Accessions, 10128, 10149, 21, 

# Samples, 1163, 1168, 5, 

# Samples greater than 10Gb, 1136, 1135, -1, 

Population in Gb, 
ASW, 1592.34, 1592.71, 0.370000000000118, 
CEU, 1734.15, 1733.82, -0.330000000000155, 
CHB, 1960.20, 2033.51, 73.3099999999999, 
CHS, 1618.68, 1638.89, 20.21, 
CLM, 1747.45, 1708.16, -39.29, 
FIN, 1902.28, 1934.08, 31.8, 
GBR, 2143.94, 2169.41, 25.4699999999998, 
IBS, 867.23, 814.93, -52.3000000000001, 
JPT, 2430.32, 2430.42, 0.0999999999999091, 
LWK, 2254.98, 2255.26, 0.2800000000002, 
MXL, 1731.66, 1731.72, 0.0599999999999454, 
PUR, 1571.32, 1596.44, 25.1200000000001, 
TSI, 1494.28, 1495.85, 1.56999999999994, 
YRI, 2052.85, 2056.49, 3.63999999999987, 
total, 25101.69, 25191.69, 90, 


Platform in Gb, 
ABI_SOLID, 6411.04, 6358.76, -52.2799999999997, 
ILLUMINA, 18509.70, 18645.88, 136.18, 
LS454, 180.95, 187.06, 6.11000000000001, 
total, 25101.69, 25191.69, 90, 


Center in Gb, 
454MSC, 54.51, 60.62, 6.11, 
BCM, 4408.27, 4304.58, -103.690000000001, 
BGI, 4237.74, 4403.82, 166.08, 
BI, 6154.28, 6161.52, 7.24000000000069, 
ILLUMINA, 851.83, 852.67, 0.839999999999918, 
MPIMG, 2016.60, 2017.84, 1.24000000000001, 
SC, 5290.88, 5302.18, 11.3000000000002, 
WUGSC, 2069.53, 2070.81, 1.27999999999975, 
mpimg, 17.65, 17.65, 0, 
total, 25101.69, 25191.69, 90, 


