Category, old, new, diff
Date, 20110411, 20110506, 20110523, 

# Accessions, 10101, 10128, 27, 

# Samples, 1142, 1163, 21, 

# Samples greater than 10Gb, 1115, 1136, 21, 

Population in Gb, 
ASW, 1592.710963484, 1592.710963484, 0, 
CEU, 1734.269468118, 1734.269468118, 0, 
CHB, 1892.578357566, 1960.226914238, 67.648556672, 
CHS, 1618.774330641, 1618.774330641, 0, 
CLM, 1673.830617335, 1750.512092871, 76.6814755360001, 
FIN, 1902.518019192, 1902.518019192, 0, 
GBR, 2010.158683718, 2144.242597487, 134.083913769, 
IBS, 814.92805858, 868.21212888, 53.2840703000001, 
JPT, 2430.42194709, 2430.42194709, 0, 
LWK, 2255.256459524, 2255.256459524, 0, 
MXL, 1634.635712656, 1731.718225596, 97.08251294, 
PUR, 1394.35726277, 1571.491132662, 177.133869892, 
TSI, 1494.321858895, 1494.321858895, 0, 
YRI, 2005.674305309, 2053.282992639, 47.6086873300001, 
total, 24454.436044878, 25107.959131317, 653.523086439, 


Platform in Gb, 
ABI_SOLID, 6183.933356453, 6414.150122253, 230.2167658, 
ILLUMINA, 18089.549899733, 18512.856220372, 423.306320639, 
LS454, 180.952788692, 180.952788692, 0, 
total, 24454.436044878, 25107.959131317, 653.523086439, 


Center in Gb, 
454MSC, 54.51193949, 54.51193949, 0, 
ABI, 0.384473325, 0.384473325, 0, 
BCM, 4308.773839405, 4411.388539205, 102.614699799999, 
BGI, 4238.295535074, 4238.295535074, 0, 
BI, 5758.587952607, 6154.54342721, 395.955474603, 
ILLUMINA, 852.671579826, 852.671579826, 0, 
MPIMG, 1889.000300384, 2016.602366384, 127.602066, 
SC, 5291.09839354, 5291.09839354, 0, 
WUGSC, 2043.459441643, 2070.810287679, 27.3508460359999, 
mpimg, 17.652589584, 17.652589584, 0, 
total, 24454.436044878, 25107.959131317, 653.523086439, 


