Category, old, new, diff
Date, 20101123, 20110124, 20110211, 

# Accessions, 216, 7293, 7077, 

# Samples, 114, 294, 180, 

# Samples greater than 10Gb, 57, 104, 47, 

Population in Gb, 
ASW, 218.30, 434.49, 216.19, 
CEU, 99.76, 252.09, 152.33, 
CLM, 126.44, 284.74, 158.3, 
FIN, 93.95, 103.34, 9.39, 
GBR, 48.28, 95.98, 47.7, 
JPT, 106.21, 280.14, 173.93, 
LWK, 80.66, 150.23, 69.57, 
MXL, 145.78, 522.13, 376.35, 
PUR, 58.16, 72.92, 14.76, 
TSI, 27.26, 282.29, 255.03, 
YRI, 90.92, 323.93, 233.01, 
total, 1095.73, 2802.26, 1706.53, 


Platform in Gb, 
ILLUMINA, 1095.73, 2802.26, 1706.53, 
total, 1095.73, 2802.26, 1706.53, 


Center in Gb, 
BI, , 815.71, 815.71, 
WUGSC, 1095.73, 1986.55, 890.82, 
total, 1095.73, 2802.26, 1706.53, 


