Category, old, new, diff
Date, 20100917, 20101004, 20101004, 

# Accessions, 13184, 13263, 79, 

# Samples, 964, 972, 8, 

# Samples greater than 10Gb, 892, 928, 36, 

Population in Gb, 
ASW, 1412.466094172, 1387.047351872, -25.4187423000001, 
CEU, 2297.230915313, 2310.062450501, 12.8315351880001, 
CHB, 1470.005835934, 1477.224161734, 7.2183258, 
CHS, 828.346264921, 876.901451941, 48.5551870199999, 
CLM, 765.127835314, 788.476578114, 23.3487428, 
FIN, 1279.169788559, 1355.545411943, 76.3756233840002, 
GBR, 1527.034734354, 1559.437789566, 32.403055212, 
IBS, 369.60903205, 378.83089865, 9.2218666, 
JPT, 2415.285639742, 2431.329733102, 16.0440933599998, 
LWK, 2047.249780442, 2099.446129158, 52.1963487160001, 
MXL, 1482.159270464, 1469.932681264, -12.2265892, 
PUR, 345.973604324, 581.612153513, 235.638549189, 
TSI, 1471.514780863, 1467.705319651, -3.80946121199986, 
YRI, 2078.567321226, 2068.561112026, -10.0062091999998, 
total, 19789.740897678, 20252.113223035, 462.372325357002, 


Platform in Gb, 
ABI_SOLID, 4850.66604695, 4850.66604695, 0, 
ILLUMINA, 14741.046148141, 15203.418473498, 462.372325357001, 
LS454, 198.028702587, 198.028702587, 0, 
total, 19789.740897678, 20252.113223035, 462.372325357002, 


Center in Gb, 
454MSC, 64.029026829, 64.029026829, 0, 
ABI, 207.9323201, 207.9323201, 0, 
BCM, 4445.330758627, 4445.330758627, 0, 
BGI, 2570.982097946, 2570.982097946, 0, 
BI, 4569.647373028, 4796.441994025, 226.794620997, 
ILLUMINA, 707.092988396, 707.092988396, 0, 
MPIMG, 485.748273765, 485.748273765, 0, 
SC, 4724.363422755, 4958.474028615, 234.11060586, 
WUGSC, 2014.614636232, 2016.081734732, 1.46709850000002, 
total, 19789.740897678, 20252.113223035, 462.372325357002, 


