Category, old, new, diff
Date, 20101019, 20101025, 20101025, 

# Accessions, 13321, 13407, 86, 

# Samples, 993, 1072, 79, 

# Samples greater than 10Gb, 963, 1044, 81, 

Population in Gb, 
ASW, 1387.047351872, 1472.715706772, 85.6683548999999, 
CEU, 2400.228533063, 2400.228533063, 0, 
CHB, 1486.634616562, 1536.812499362, 50.1778827999999, 
CHS, 887.054817925, 1567.445553384, 680.390735459, 
CLM, 1041.639395361, 1237.279314321, 195.63991896, 
FIN, 1398.391473643, 1464.251160722, 65.859687079, 
GBR, 1599.952827975, 1641.87837965, 41.925551675, 
IBS, 378.83089865, 378.83089865, 0, 
JPT, 2438.075203582, 2530.920332832, 92.8451292499999, 
LWK, 2106.02514615, 2151.51913165, 45.4939854999998, 
MXL, 1559.067756511, 1657.313864563, 98.246108052, 
PUR, 758.143384079, 968.568062596, 210.424678517, 
TSI, 1478.965643407, 1478.965643407, 0, 
YRI, 2068.561112026, 2152.254052426, 83.6929403999998, 
total, 20988.618160806, 22638.983133398, 1650.364972592, 


Platform in Gb, 
ABI_SOLID, 4943.414634025, 5427.153414825, 483.7387808, 
ILLUMINA, 15847.174824194, 17013.801015986, 1166.626191792, 
LS454, 198.028702587, 198.028702587, 0, 
total, 20988.618160806, 22638.983133398, 1650.364972592, 


Center in Gb, 
454MSC, 64.029026829, 64.029026829, 0, 
ABI, 257.834845475, 257.834845475, 0, 
BCM, 4488.176820327, 4488.176820327, 0, 
BGI, 2570.982097946, 3662.987958628, 1092.005860682, 
BI, 5378.426833417, 5509.120037133, 130.693203716, 
ILLUMINA, 707.092988396, 707.092988396, 0, 
MPIMG, 485.748273765, 907.398974215, 421.65070045, 
SC, 5020.245539919, 5026.260747663, 6.01520774399978, 
WUGSC, 2016.081734732, 2016.081734732, 0, 
total, 20988.618160806, 22638.983133398, 1650.364972592, 


