Category, old, new, diff
Date, 20130415, 20130422, 20130422, 

# Accessions, 36879, 37034, 155, 

# Samples, 2694, 2705, 11, 

# Samples greater than 10Gb, 2688, 2696, 8, 

# Samples gt 10Gb by pop, 
ACB, 98, 98, 0, 
ASW, 68, 68, 0, 
BEB, 101, 101, 0, 
CDX, 107, 107, 0, 
CEU, 101, 101, 0, 
CHB, 106, 106, 0, 
CHS, 114, 114, 0, 
CLM, 104, 105, 1, 
ESN, 109, 110, 1, 
FIN, 103, 104, 1, 
GBR, 103, 103, 0, 
GIH, 107, 107, 0, 
GWD, 119, 120, 1, 
IBS, 107, 107, 0, 
ITU, 112, 112, 0, 
JPT, 105, 105, 0, 
KHV, 103, 103, 0, 
LWK, 115, 115, 0, 
MSL, 98, 98, 0, 
MXL, 73, 73, 0, 
PEL, 91, 91, 0, 
PJL, 107, 108, 1, 
PUR, 105, 107, 2, 
STU, 111, 111, 0, 
TSI, 111, 112, 1, 
YRI, 110, 110, 0, 
total, 2688, 2696, 8, 


Population in Gb, 
ACB, 3182.04, 3182.04, 0, 
ASW, 2016.64, 2016.64, 0, 
BEB, 2299.26, 2307.89, 8.62999999999965, 
CDX, 2222.08, 2231.30, 9.22000000000025, 
CEU, 3825.66, 3964.10, 138.44, 
CHB, 3891.11, 3891.11, 0, 
CHS, 2758.95, 2758.95, 0, 
CLM, 2981.12, 2999.59, 18.4700000000003, 
ESN, 2562.10, 2607.36, 45.2600000000002, 
FIN, 2851.18, 2868.77, 17.5900000000001, 
GBR, 3431.04, 3431.04, 0, 
GIH, 3234.31, 3234.31, 0, 
GWD, 3366.35, 3383.13, 16.7800000000002, 
IBS, 3231.34, 3248.03, 16.6900000000001, 
ITU, 2686.00, 2687.31, 1.30999999999995, 
JPT, 3983.62, 3983.62, 0, 
KHV, 3643.64, 3643.64, 0, 
LWK, 3330.06, 3330.06, 0, 
MSL, 2311.55, 2311.55, 0, 
MXL, 2050.57, 2050.57, 0, 
PEL, 3055.01, 3055.01, 0, 
PJL, 2639.28, 2657.42, 18.1399999999999, 
PUR, 2775.46, 2812.49, 37.0299999999997, 
STU, 2836.21, 2836.21, 0, 
TSI, 3373.65, 3443.24, 69.5899999999997, 
YRI, 3973.49, 3981.80, 8.3100000000004, 
total, 78511.75, 78917.20, 405.449999999997, 


Platform in Gb, 
ABI_SOLID, 11567.78, 11567.78, 0, 
ILLUMINA, 66756.91, 67162.36, 405.449999999997, 
LS454, 187.06, 187.06, 0, 
total, 78511.75, 78917.20, 405.449999999997, 


Center in Gb, 
454MSC, 60.62, 60.62, 0, 
BCM, 12701.19, 12701.19, 0, 
BGI, 16504.71, 16504.71, 0, 
BI, 18391.91, 18431.21, 39.2999999999993, 
ILLUMINA, 2068.98, 2366.41, 297.43, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 4707.12, 4707.12, 0, 
SC, 16370.51, 16439.23, 68.7199999999993, 
WUGSC, 7670.78, 7670.78, 0, 
mpimg, 17.65, 17.65, 0, 
total, 78511.75, 78917.20, 405.449999999997, 


