Category, old, new, diff
Date, 20110411, 20110506, 20110523, 

# Accessions, 9567, 9618, 51, 

# Samples, 977, 1021, 44, 

# Samples greater than 10Gb, 619, 689, 70, 

Population in Gb, 
ASW, 620.989865206, 643.17226377, 22.182398564, 
CEU, 1069.330000086, 1118.192629155, 48.8626290690001, 
CHB, 927.660831688, 983.611856108, 55.95102442, 
CHS, 754.186908236, 839.560292676, 85.37338444, 
CLM, 664.855872591, 728.938382591, 64.0825100000001, 
FIN, 849.385192425, 966.607554215, 117.22236179, 
GBR, 1091.071755815, 1198.250346735, 107.17859092, 
JPT, 1147.247585042, 1217.110804722, 69.8632196799999, 
LWK, 1088.60025226, 1375.749669415, 287.149417155, 
MXL, 710.920991591, 736.966179895, 26.045188304, 
PUR, 730.718139829, 742.463276269, 11.7451364399999, 
TSI, 1025.805408557, 1090.011766127, 64.2063575700001, 
YRI, 1157.712103515, 1161.95279431, 4.24069079499986, 
total, 11838.484906841, 12802.587815988, 964.102909146999, 


Platform in Gb, 
ABI_SOLID, 4015.932893584, 4833.986272109, 818.053378525, 
ILLUMINA, 7822.552013257, 7968.601543879, 146.049530622, 
total, 11838.484906841, 12802.587815988, 964.102909146999, 


Center in Gb, 
BCM, 4015.932893584, 4833.986272109, 818.053378525, 
BGI, 1835.433615611, 1927.676783801, 92.24316819, 
BI, 4011.057214826, 4060.713467958, 49.6562531320001, 
WUGSC, 1976.06118282, 1980.21129212, 4.15010929999994, 
total, 11838.484906841, 12802.587815988, 964.102909146999, 


