Category, old, new, diff
Date, 20091216, 20100311, 20100601, 

# Accessions, 9941, 11309, 1368, 

# Samples, 271, 364, 93, 

# Samples greater than 4x, 150, 262, 112, 

Population in Gb, 
ASW, ,  276, 276, 
CEU, 1591, 1945, 354, 
CHB,  271,  271, 0, 
JPT, 1121, 1402, 281, 
LWK, ,  252, 252, 
TSI,  372, 1122, 750, 
YRI, 1210, 1461, 251, 
total, 4565, 6729, 2164, 


Platform in Gb, 
ABI_SOLID,  818,  860, 42, 
ILLUMINA, 3549, 5672, 2123, 
LS454,  198,  197, -1, 
total, 4565, 6729, 2164, 


Center in Gb, 
454MSC,   66,   64, -2, 
ABI,  267,  289, 22, 
BCM,  495,  495, 0, 
BGI,  271,  271, 0, 
BI, 1588, 2743, 1155, 
ILLUMINA,  105,  105, 0, 
MPIMG,  140,  307, 167, 
SC, 1208, 2015, 807, 
WUGSC,  425,  439, 14, 
total, 4565, 6729, 2164, 


