Category, old, new, diff
Date, 20120419, 20120522, 20121210, 

# Accessions, 14175, 14260, 85, 

# Samples, 1671, 1698, 27, 

# Samples greater than 10Gb, 1632, 1663, 31, 

Population in Gb, 
ACB, 2014.84, 2063.29, 48.45, 
ASW, 1639.05, 1639.05, 0, 
CDX, 1757.25, 1752.69, -4.55999999999995, 
CEU, 2454.04, 2472.03, 17.9900000000002, 
CHB, 2022.10, 2022.10, 0, 
CHS, 1638.89, 1638.89, 0, 
CLM, 1841.53, 1841.53, 0, 
FIN, 1942.82, 1942.82, 0, 
GBR, 2238.46, 2238.46, 0, 
GIH, 2058.60, 2340.53, 281.93, 
IBS, 2061.47, 2496.51, 435.04, 
JPT, 3079.59, 3079.59, 0, 
KHV, 2650.41, 2954.13, 303.72, 
LWK, 2443.67, 2443.67, 0, 
MXL, 1768.90, 1768.90, 0, 
PEL, 1908.15, 2085.57, 177.42, 
PUR, 1704.52, 1704.52, 0, 
TSI, 1499.36, 1499.36, 0, 
YRI, 2603.87, 2620.10, 16.23, 
total, 39327.51, 40603.73, 1276.22, 


Platform in Gb, 
ABI_SOLID, 10909.17, 11274.52, 365.35, 
ILLUMINA, 28231.28, 29142.15, 910.870000000003, 
LS454, 187.06, 187.06, 0, 
total, 39327.51, 40603.73, 1276.22, 


Center in Gb, 
454MSC, 60.62, 60.62, 0, 
BCM, 8413.16, 8457.50, 44.3400000000001, 
BGI, 7723.97, 7723.97, 0, 
BI, 8457.54, 8995.55, 538.009999999998, 
ILLUMINA, 1599.96, 1599.96, 0, 
Illumina, , 18.28, 18.28, 
MPIMG, 2263.92, 2960.91, 696.99, 
SC, 6626.90, 6589.27, -37.6299999999992, 
WUGSC, 4163.78, 4180.01, 16.2300000000005, 
mpimg, 17.65, 17.65, 0, 
total, 39327.51, 40603.73, 1276.22, 


