Category, old, new, diff
Date, 20110719, 20110920, 20111010, 

# Accessions, 9965, 10060, 95, 

# Samples, 1182, 1183, 1, 

# Samples greater than 10Gb, 827, 835, 8, 

Population in Gb, 
ASW, 652.92, 653.57, 0.65, 
CEU, 1368.25, 1389.36, 21.11, 
CHB, 1219.31, 1251.34, 32.03, 
CHS, 1013.76, 1013.76, 0, 
CLM, 728.99, 728.99, 0, 
FIN, 1007.04, 1018.69, 11.65, 
GBR, 1246.04, 1235.04, -11, 
IBS, 300.55, 300.55, 0, 
JPT, 1368.90, 1368.90, 0, 
LWK, 1495.32, 1485.31, -10.01, 
MXL, 736.97, 736.97, 0, 
PUR, 977.71, 983.63, 5.92, 
TSI, 1296.71, 1296.71, 0, 
YRI, 1371.71, 1371.71, 0, 
total, 14784.16, 14834.54, 50.38, 


Platform in Gb, 
ABI_SOLID, 5145.52, 5122.42, -23.1, 
ILLUMINA, 9638.64, 9712.12, 73.48, 
total, 14784.16, 14834.54, 50.38 


Center in Gb, 
BCM, 5145.52, 5122.42, -23.1, 
BGI, 3370.36, 3370.36, 0, 
BI, 4146.49, 4219.97, 73.48, 
WUGSC, 2121.79, 2121.79, 0, 
total, 14784.16, 14834.54, 50.38, 


