Category, old, new, diff
Date, 20100429, 20100513, 20100601, 

# Accessions, 11571, 12170, 599, 

# Samples, 402, 499, 97, 

# Samples greater than 4x, 302, 396, 94, 

Population in Gb, 
ASW,  305,  645, 340, 
CEU, 2279, 2365, 86, 
CHB,  509, 1061, 552, 
GBR,   36,  141, 105, 
JPT, 1475, 1778, 303, 
LWK,  301,  660, 359, 
MXL,  126,  210, 84, 
TSI, 1124, 1159, 35, 
YRI, 1477, 1535, 58, 
total, 7632, 9554, 1922, 


Platform in Gb, 
ABI_SOLID, 1181, 1372, 191, 
ILLUMINA, 6255, 7985, 1730, 
LS454,  197,  197, 0, 
total, 7632, 9554, 1922, 


Center in Gb, 
454MSC,   64,   64, 0, 
ABI,  289,  289, 0, 
BCM,  703,  800, 97, 
BGI,  300,  478, 178, 
BI, 3011, 3534, 523, 
ILLUMINA,  105,  105, 0, 
MPIMG,  522,  523, 1, 
SC, 2015, 2791, 776, 
UNKNOWN,  184,  531, 347, 
WUGSC,  439,  439, 0, 
total, 7632, 9554, 1922, 


