Category, old, new, diff
Date, 20130218, 20130305, 20130306, 

# Accessions, 17073, 17365, 292, 

# Samples, 1881, 1881, 0, 

# Samples greater than 10Gb, 1219, 1220, 1, 

Population in Gb, 
ACB, 1019.31, 1134.15, 114.84, 
ASW, 747.05, 769.85, 22.8000000000001, 
CDX, 1225.60, 1328.04, 102.44, 
CEU, 1396.25, 1533.73, 137.48, 
CHB, 1258.89, 1355.31, 96.4199999999998, 
CHS, 1111.58, 1131.31, 19.73, 
CLM, 759.41, 817.04, 57.63, 
ESN, 166.20, 166.20, 0, 
FIN, 1035.49, 1077.81, 42.3199999999999, 
GBR, 1313.84, 1408.82, 94.98, 
GIH, 1198.78, 1233.99, 35.21, 
GWD, 606.30, 631.95, 25.6500000000001, 
IBS, 1674.01, 1849.33, 175.32, 
JPT, 1352.43, 1458.65, 106.22, 
KHV, 1600.33, 1781.66, 181.33, 
LWK, 1563.65, 1676.00, 112.35, 
MSL, 118.81, 118.81, 0, 
MXL, 759.09, 771.63, 12.54, 
PEL, 1226.81, 1362.33, 135.52, 
PJL, 227.87, 227.87, 0, 
PUR, 983.63, 983.63, 0, 
TSI, 1331.67, 1331.67, 0, 
YRI, 1361.26, 1415.20, 53.9400000000001, 
total, 24038.27, 25564.99, 1526.72, 


Platform in Gb, 
ABI_SOLID, 7949.63, 7949.63, 0, 
ILLUMINA, 16088.64, 17615.36, 1526.72, 
total, 24038.27, 25564.99, 1526.72, 


Center in Gb, 
BCM, 7949.63, 9450.71, 1501.08, 
BGI, 5529.07, 5529.07, 0, 
BI, 6901.76, 6927.41, 25.6499999999996, 
WUGSC, 3657.80, 3657.80, 0, 
total, 24038.27, 25564.99, 1526.72, 


