Category, old, new, diff
Date, 20110124, 20110228, 20110228, 

# Accessions, 7293, 9314, 2021, 

# Samples, 294, 756, 462, 

# Samples greater than 10Gb, 104, 520, 416, 

Population in Gb, 
ASW, 434.49, 606.20, 171.71, 
CEU, 252.09, 979.65, 727.56, 
CHB, , 535.70, 535.7, 
CHS, , 173.29, 173.29, 
CLM, 284.74, 555.80, 271.06, 
FIN, 103.34, 368.94, 265.6, 
GBR, 95.98, 805.94, 709.96, 
JPT, 280.14, 981.52, 701.38, 
LWK, 150.23, 1028.91, 878.68, 
MXL, 522.13, 703.49, 181.36, 
PUR, 72.92, 676.50, 603.58, 
TSI, 282.29, 1012.31, 730.02, 
YRI, 323.93, 1022.46, 698.53, 
total, 2802.26, 9450.72, 6648.46, 


Platform in Gb, 
ABI_SOLID, , 3667.78, 3667.78, 
ILLUMINA, 2802.26, 5782.94, 2980.68, 
total, 2802.26, 9450.72, 6648.46, 


Center in Gb, 
BCM, , 3667.78, 3667.78, 
BI, 815.71, 3801.57, 2985.86, 
WUGSC, 1986.55, 1981.37, -5.18000000000006, 
total, 2802.26, 9450.72, 6648.46, 


