Category, old, new, diff
Date, 20101025, 20101101, 20101101, 

# Accessions, 13407, 13452, 45, 

# Samples, 1072, 1103, 31, 

# Samples greater than 10Gb, 1044, 1078, 34, 

Population in Gb, 
ASW, 1472.715706772, 1498.134449072, 25.4187423000001, 
CEU, 2400.228533063, 2400.228533063, 0, 
CHB, 1536.812499362, 1536.812499362, 0, 
CHS, 1567.445553384, 1618.774330641, 51.328777257, 
CLM, 1237.279314321, 1237.279314321, 0, 
FIN, 1464.251160722, 1552.975159422, 88.7239987, 
GBR, 1641.87837965, 1714.847745344, 72.9693656940001, 
IBS, 378.83089865, 378.83089865, 0, 
JPT, 2530.920332832, 2530.920332832, 0, 
LWK, 2151.51913165, 2197.58268105, 46.0635493999998, 
MXL, 1657.313864563, 1701.550511563, 44.2366470000002, 
PUR, 968.568062596, 1406.864451465, 438.296388869, 
TSI, 1478.965643407, 1478.965643407, 0, 
YRI, 2152.254052426, 2162.260261626, 10.0062092000003, 
total, 22638.983133398, 23416.026811818, 777.043678419999, 


Platform in Gb, 
ABI_SOLID, 5427.153414825, 5745.635011925, 318.4815971, 
ILLUMINA, 17013.801015986, 17472.363097306, 458.56208132, 
LS454, 198.028702587, 198.028702587, 0, 
total, 22638.983133398, 23416.026811818, 777.043678419999, 


Center in Gb, 
454MSC, 64.029026829, 64.029026829, 0, 
ABI, 257.834845475, 257.834845475, 0, 
BCM, 4488.176820327, 4488.176820327, 0, 
BGI, 3662.987958628, 3928.055921435, 265.067962807, 
BI, 5509.120037133, 5893.102424852, 383.982387719, 
ILLUMINA, 707.092988396, 707.092988396, 0, 
MPIMG, 907.398974215, 996.017253165, 88.6182789500001, 
SC, 5026.260747663, 4985.974198107, -40.286549556, 
WUGSC, 2016.081734732, 2095.743333232, 79.6615985000001, 
total, 22638.983133398, 23416.026811818, 777.043678419999, 


