Category, old, new, diff
Date, 20110228, 20110411, 20110523, 

# Accessions, 10040, 10101, 61, 

# Samples, 1138, 1142, 4, 

# Samples greater than 10Gb, 1110, 1115, 5, 

Population in Gb, 
ASW, 1590.100567772, 1592.710963484, 2.61039571200013, 
CEU, 1733.88168908, 1734.269468118, 0.38777903800019, 
CHB, 1892.578357566, 1892.578357566, 0, 
CHS, 1618.774330641, 1618.774330641, 0, 
CLM, 1673.830617335, 1673.830617335, 0, 
FIN, 1902.518019192, 1902.518019192, 0, 
GBR, 1998.904578714, 2010.158683718, 11.2541050039999, 
IBS, 814.92805858, 814.92805858, 0, 
JPT, 2430.42194709, 2430.42194709, 0, 
LWK, 2251.1115545, 2255.256459524, 4.14490502400031, 
MXL, 1634.635712656, 1634.635712656, 0, 
PUR, 1322.039421742, 1394.35726277, 72.317841028, 
TSI, 1439.790894015, 1494.321858895, 54.5309648800001, 
YRI, 2004.368254277, 2005.674305309, 1.30605103199991, 
total, 24307.88400316, 24454.436044878, 146.552041717998, 


Platform in Gb, 
ABI_SOLID, 6183.93471215, 6183.933356453, -0.00135569700069027, 
ILLUMINA, 17942.996502318, 18089.549899733, 146.553397414998, 
LS454, 180.952788692, 180.952788692, 0, 
total, 24307.88400316, 24454.436044878, 146.552041717998, 


Center in Gb, 
454MSC, 54.51193949, 54.51193949, 0, 
ABI, 0.384473325, 0.384473325, 0, 
BCM, 4308.775195102, 4308.773839405, -0.00135569699978078, 
BGI, 4238.295535074, 4238.295535074, 0, 
BI, 5666.954654807, 5758.587952607, 91.6332978, 
ILLUMINA, 852.671579826, 852.671579826, 0, 
MPIMG, 1857.300276788, 1889.000300384, 31.7000235959999, 
SC, 5290.709258805, 5291.09839354, 0.389134734999971, 
WUGSC, 2038.281089943, 2043.459441643, 5.17835169999989, 
mpimg, , 17.652589584, 17.652589584, 
total, 24307.88400316, 24454.436044878, 146.552041717998, 


