Category, old, new, diff
Date, 20130415, 20130422, 20130422, 

# Accessions, 29986, 30193, 207, 

# Samples, 2668, 2688, 20, 

# Samples greater than 10Gb, 2658, 2674, 16, 

# Samples gt 10Gb by pop, 
ACB, 98, 98, 0, 
ASW, 66, 66, 0, 
BEB, 101, 101, 0, 
CDX, 105, 105, 0, 
CEU, 93, 101, 8, 
CHB, 105, 105, 0, 
CHS, 111, 111, 0, 
CLM, 102, 103, 1, 
ESN, 109, 110, 1, 
FIN, 103, 104, 1, 
GBR, 103, 103, 0, 
GIH, 107, 107, 0, 
GWD, 119, 120, 1, 
IBS, 107, 107, 0, 
ITU, 112, 112, 0, 
JPT, 105, 105, 0, 
KHV, 103, 103, 0, 
LWK, 112, 112, 0, 
MSL, 98, 98, 0, 
MXL, 70, 70, 0, 
PEL, 90, 90, 0, 
PJL, 107, 108, 1, 
PUR, 105, 107, 2, 
STU, 111, 111, 0, 
TSI, 108, 109, 1, 
YRI, 108, 108, 0, 
total, 2658, 2674, 16, 


Population in Gb, 
ACB, 2516.54, 2516.54, 0, 
ASW, 1516.35, 1516.35, 0, 
BEB, 2299.26, 2307.89, 8.62999999999965, 
CDX, 1997.61, 2006.83, 9.22000000000003, 
CEU, 2508.46, 2675.30, 166.84, 
CHB, 2537.94, 2537.94, 0, 
CHS, 2374.01, 2374.01, 0, 
CLM, 2293.55, 2312.02, 18.4699999999998, 
ESN, 2561.92, 2607.36, 45.4400000000001, 
FIN, 1979.53, 1997.12, 17.5899999999999, 
GBR, 2474.04, 2474.04, 0, 
GIH, 2259.97, 2259.97, 0, 
GWD, 3366.35, 3383.13, 16.7800000000002, 
IBS, 2257.96, 2274.65, 16.6900000000001, 
ITU, 2686.00, 2687.31, 1.30999999999995, 
JPT, 2710.86, 2710.86, 0, 
KHV, 2683.27, 2683.27, 0, 
LWK, 2471.08, 2471.08, 0, 
MSL, 2311.55, 2311.55, 0, 
MXL, 1508.49, 1508.49, 0, 
PEL, 2210.60, 2210.60, 0, 
PJL, 2639.28, 2657.42, 18.1399999999999, 
PUR, 2692.75, 2729.77, 37.02, 
STU, 2836.21, 2836.21, 0, 
TSI, 2296.00, 2365.60, 69.5999999999999, 
YRI, 2488.08, 2496.38, 8.30000000000018, 
total, 62477.67, 62911.69, 434.020000000004, 


Platform in Gb, 
ILLUMINA, 62477.67, 62911.69, 434.020000000004, 
total, 62477.67, 62911.69, 434.020000000004, 


Center in Gb, 
BCM, 4417.15, 4417.15, 0, 
BGI, 14263.62, 14263.62, 0, 
BI, 17985.89, 18025.37, 39.4799999999996, 
ILLUMINA, 1944.57, 2261.48, 316.91, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 2122.19, 2122.19, 0, 
SC, 14456.62, 14525.34, 68.7199999999993, 
WUGSC, 7269.34, 7278.24, 8.89999999999964, 
total, 62477.67, 62911.69, 434.020000000004, 


