Category, old, new, diff
Date, 20130422, 20130502, 20130503, 

# Accessions, 37032, 37047, 15, 

# Samples, 2705, 2705, 0, 

# Samples greater than 10Gb, 2696, 2700, 4, 

# Samples gt 10Gb by pop, 
ACB, 98, 98, 0, 
ASW, 68, 68, 0, 
BEB, 101, 102, 1, 
CDX, 107, 108, 1, 
CEU, 101, 101, 0, 
CHB, 106, 106, 0, 
CHS, 114, 114, 0, 
CLM, 105, 105, 0, 
ESN, 110, 111, 1, 
FIN, 104, 104, 0, 
GBR, 103, 103, 0, 
GIH, 107, 107, 0, 
GWD, 120, 120, 0, 
IBS, 107, 107, 0, 
ITU, 112, 112, 0, 
JPT, 105, 105, 0, 
KHV, 103, 103, 0, 
LWK, 115, 115, 0, 
MSL, 98, 98, 0, 
MXL, 73, 73, 0, 
PEL, 91, 91, 0, 
PJL, 108, 108, 0, 
PUR, 107, 107, 0, 
STU, 111, 111, 0, 
TSI, 112, 112, 0, 
YRI, 110, 111, 1, 
total, 2696, 2700, 4, 


Population in Gb, 
ACB, 3182.04, 3182.04, 0, 
ASW, 2016.64, 2016.64, 0, 
BEB, 2307.89, 2326.50, 18.6100000000001, 
CDX, 2231.30, 2250.70, 19.3999999999996, 
CEU, 3964.10, 3985.59, 21.4900000000002, 
CHB, 3891.11, 3891.11, 0, 
CHS, 2758.95, 2758.95, 0, 
CLM, 2999.59, 3027.91, 28.3199999999997, 
ESN, 2607.36, 2623.46, 16.0999999999999, 
FIN, 2868.77, 2877.50, 8.73000000000002, 
GBR, 3431.04, 3431.04, 0, 
GIH, 3234.31, 3234.31, 0, 
GWD, 3383.13, 3390.40, 7.26999999999998, 
IBS, 3234.48, 3234.48, 0, 
ITU, 2687.31, 2687.31, 0, 
JPT, 3983.62, 3983.62, 0, 
KHV, 3643.64, 3643.64, 0, 
LWK, 3330.06, 3330.06, 0, 
MSL, 2311.55, 2311.55, 0, 
MXL, 2050.57, 2050.57, 0, 
PEL, 3055.01, 3055.01, 0, 
PJL, 2657.42, 2665.86, 8.44000000000005, 
PUR, 2812.49, 2829.46, 16.9700000000003, 
STU, 2836.21, 2836.21, 0, 
TSI, 3443.24, 3451.07, 7.83000000000038, 
YRI, 3981.80, 3996.81, 15.0099999999998, 
total, 78903.64, 79071.81, 168.169999999998, 


Platform in Gb, 
ABI_SOLID, 11567.78, 11567.78, 0, 
ILLUMINA, 67148.81, 67316.98, 168.169999999998, 
LS454, 187.06, 187.06, 0, 
total, 78903.64, 79071.81, 168.169999999998, 


Center in Gb, 
454MSC, 60.62, 60.62, 0, 
BCM, 12701.19, 12701.19, 0, 
BGI, 16504.71, 16504.71, 0, 
BI, 18431.21, 18431.21, 0, 
ILLUMINA, 2366.41, 2534.58, 168.17, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 4707.12, 4707.12, 0, 
SC, 16425.67, 16425.67, 0, 
WUGSC, 7670.78, 7670.78, 0, 
mpimg, 17.65, 17.65, 0, 
total, 78903.64, 79071.81, 168.169999999998, 


