Category, old, new, diff
Date, 20111114, 20120130, 20120130, 

# Accessions, 10789, 13279, 2490, 

# Samples, 1449, 1657, 208, 

# Samples greater than 10Gb, 1414, 1562, 148, 

Population in Gb, 
ACB, 414.61, 1168.54, 753.93, 
ASW, 1676.39, 1676.39, 0, 
CDX, 1740.73, 1810.57, 69.8399999999999, 
CEU, 1822.63, 2381.05, 558.42, 
CHB, 2033.51, 2033.51, 0, 
CHS, 1638.89, 1638.89, 0, 
CLM, 1708.29, 1797.13, 88.8400000000001, 
FIN, 1956.38, 1956.38, 0, 
GBR, 2249.86, 2249.86, 0, 
GIH, 343.70, 1902.72, 1559.02, 
IBS, 1574.42, 2015.24, 440.82, 
JPT, 2968.83, 3016.71, 47.8800000000001, 
KHV, 1288.24, 2114.17, 825.93, 
LWK, 2367.70, 2367.70, 0, 
MXL, 1745.23, 1745.23, 0, 
PEL, 788.76, 1618.22, 829.46, 
PUR, 1772.49, 1772.49, 0, 
TSI, 1509.84, 1509.84, 0, 
YRI, 2433.98, 2583.06, 149.08, 
total, 32034.48, 37357.71, 5323.23, 


Platform in Gb, 
ABI_SOLID, 7461.49, 10060.90, 2599.41, 
ILLUMINA, 24385.94, 27109.74, 2723.8, 
LS454, 187.06, 187.06, 0, 
total, 32034.48, 37357.71, 5323.23, 


Center in Gb, 
454MSC, 60.62, 60.62, 0, 
BCM, 4822.97, 7663.25, 2840.28, 
BGI, 7687.41, 7732.81, 45.4000000000005, 
BI, 6445.68, 7026.77, 581.09, 
ILLUMINA, 852.67, 1599.96, 747.29, 
MPIMG, 1983.19, 2113.67, 130.48, 
SC, 5899.78, 6797.09, 897.31, 
WUGSC, 4282.15, 4363.53, 81.3800000000001, 
total, 32034.48, 37357.71, 5323.23, 


