Category, old, new, diff
Date, , , 20121210, 

# Accessions, 10436, 15952, 5516, 

# Samples, 886, 1396, 510, 

# Samples greater than 10Gb, 521, 740, 219, 

Population in Gb, 
ACB, 490.16, 633.68, 143.52, 
ASW, 491.40, 569.41, 78.01, 
CDX, 741.43, 860.85, 119.42, 
CEU, 216.94, 825.12, 608.18, 
CHB, 286.22, 845.39, 559.17, 
CHS, 557.81, 954.87, 397.06, 
CLM, 416.79, 442.28, 25.49, 
ESN, , 158.00, 158, 
FIN, 535.19, 746.11, 210.92, 
GBR, 545.21, 833.55, 288.34, 
GIH, 672.33, 782.19, 109.86, 
GWD, , 575.57, 575.57, 
IBS, 732.80, 883.85, 151.05, 
JPT, 808.78, 975.94, 167.16, 
KHV, 1073.17, 1135.29, 62.1199999999999, 
LWK, 327.39, 380.03, 52.64, 
MSL, , 118.48, 118.48, 
MXL, 572.71, 580.06, 7.34999999999991, 
PEL, 700.08, 752.85, 52.77, 
PJL, , 224.95, 224.95, 
PUR, 885.63, 983.63, 98, 
TSI, 114.81, 726.76, 611.95, 
YRI, 624.97, 1056.28, 431.31, 
total, 10793.81, 16045.15, 5251.34, 


Platform in Gb, 
ILLUMINA, 10793.81, 16045.15, 5251.34, 
total, 10793.81, 16045.15, 5251.34, 


Center in Gb, 
BGI, 3023.26, 5529.07, 2505.81, 
BI, 4697.74, 6858.28, 2160.54, 
WUGSC, 3072.80, 3657.80, 585, 
total, 10793.81, 16045.15, 5251.34, 


