Category, old, new, diff
Date, , , 20121211, 

# Accessions, 6949, 18316, 11367, 

# Samples, 1106, 1652, 546, 

# Samples greater than 10Gb, 1100, 1596, 496, 

Population in Gb, 
ACB, 1398.78, 1682.41, 283.63, 
ASW, 1138.76, 1138.76, 0, 
BEB, , 929.50, 929.5, 
CDX, 1502.21, 1519.37, 17.1599999999999, 
CEU, 1077.82, 1240.73, 162.91, 
CHB, 502.78, 578.27, 75.49, 
CHS, 1065.68, 1612.79, 547.11, 
CLM, 1207.23, 1441.57, 234.34, 
ESN, , 1561.58, 1561.58, 
FIN, 958.02, 1093.48, 135.46, 
GBR, 1025.05, 1436.26, 411.21, 
GIH, 1419.67, 1556.19, 136.52, 
GWD, , 3014.09, 3014.09, 
IBS, 1523.13, 1552.94, 29.8099999999999, 
ITU, , 752.05, 752.05, 
JPT, 1776.68, 1785.99, 9.30999999999995, 
KHV, 1993.75, 1993.75, 0, 
LWK, 1560.79, 1795.17, 234.38, 
MSL, , 1617.10, 1617.1, 
MXL, 1226.82, 1260.87, 34.05, 
PEL, 1299.74, 1471.80, 172.06, 
PJL, , 1103.10, 1103.1, 
PUR, 1610.93, 1791.31, 180.38, 
STU, , 924.82, 924.82, 
TSI, 126.90, 182.57, 55.67, 
YRI, 1064.70, 1091.65, 26.95, 
total, 23479.43, 36128.15, 12648.72, 


Platform in Gb, 
ILLUMINA, 23479.43, 36128.15, 12648.72, 
total, 23479.43, 36128.15, 12648.72, 


Center in Gb, 
BCM, 466.72, 466.72, 0, 
BGI, 4786.29, 5257.41, 471.12, 
BI, 8449.12, 13739.16, 5290.04, 
ILLUMINA, 1495.04, 1495.04, 0, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 375.98, 430.61, 54.63, 
SC, 4135.55, 10960.08, 6824.53, 
WUGSC, 3752.45, 3760.84, 8.39000000000033, 
total, 23479.43, 36128.15, 12648.72, 


