Category, old, new, diff
Date, 20100813, 20100817, 20100817, 

# Accessions, 12269, 12592, 323, 

# Samples, 722, 812, 90, 

# Samples greater than 10Gb, 624, 700, 76, 

Population in Gb, 
ASW, 1002.38898835, 1002.38898835, 0, 
CEU, 2296.370296035, 2296.370296035, 0, 
CHB, 1470.005835934, 1470.005835934, 0, 
CHS, 348.304786844, 748.221102202, 399.916315358, 
CLM, , 2.5291898, 2.5291898, 
FIN, 478.475237374, 788.47020306, 309.994965686, 
GBR, 936.409440243, 1173.224382702, 236.814942459, 
JPT, 2303.477501235, 2377.729522313, 74.2520210779999, 
LWK, 1675.840008258, 1845.052862408, 169.21285415, 
MXL, 896.552580102, 937.997718217, 41.4451381150001, 
PUR, 37.55218914, 37.55218914, 0, 
TSI, 1421.600415327, 1452.519806203, 30.9193908759999, 
YRI, 1922.505034205, 1925.961372245, 3.45633803999999, 
total, 14789.482313047, 16058.023468609, 1268.541155562, 


Platform in Gb, 
ABI_SOLID, 3930.6156429, 4046.2367736, 115.6211307, 
ILLUMINA, 10662.273533562, 11815.193558424, 1152.920024862, 
LS454, 196.593136585, 196.593136585, 0, 
total, 14789.482313047, 16058.023468609, 1268.541155562, 


Center in Gb, 
454MSC, 64.029026829, 64.029026829, 0, 
ABI, 207.9323201, 207.9323201, 0, 
BCM, 3525.159845867, 3640.780976567, 115.6211307, 
BGI, 709.908428965, 1656.634652468, 946.726223503, 
BI, 4451.62168493, 4451.62168493, 0, 
ILLUMINA, 537.39793315, 621.481209282, 84.083276132, 
MPIMG, 508.045243467, 508.045243467, 0, 
SC, 4352.204604023, 4466.514322935, 114.309718912, 
WUGSC, 433.183225716, 440.984032031, 7.80080631500005, 
total, 14789.482313047, 16058.023468609, 1268.541155562, 


