Category, old, new, diff
Date, 20110521, 20110719, 20110719, 

# Accessions, 9748, 9956, 208, 

# Samples, 1148, 1175, 27, 

# Samples greater than 10Gb, 798, 820, 22, 

Population in Gb, 
ASW, 643.17, 652.92, 9.75, 
CEU, 1362.75, 1354.29, -8.46000000000004, 
CHB, 1217.41, 1219.31, 1.89999999999986, 
CHS, 1013.19, 1013.76, 0.569999999999936, 
CLM, 728.94, 728.99, 0.0499999999999545, 
FIN, 1006.96, 1007.04, 0.0799999999999272, 
GBR, 1233.04, 1246.04, 13, 
IBS, , 188.90, 188.9, 
JPT, 1352.33, 1368.90, 16.5700000000002, 
LWK, 1383.63, 1495.32, 111.69, 
MXL, 736.97, 736.97, 0, 
PUR, 890.85, 977.71, 86.86, 
TSI, 1326.07, 1296.71, -29.3599999999999, 
YRI, 1371.28, 1371.71, 0.430000000000064, 
total, 14266.59, 14658.56, 391.969999999999, 


Platform in Gb, 
ABI_SOLID, 4841.87, 5145.52, 303.650000000001, 
ILLUMINA, 9424.72, 9513.03, 88.3100000000013, 
total, 14266.59, 14658.56, 391.969999999999, 


Center in Gb, 
BCM, 4841.87, 5145.52, 303.650000000001, 
BGI, 3367.83, 3370.36, 2.5300000000002, 
BI, 4060.71, 4146.49, 85.7799999999997, 
WUGSC, 1996.18, 1996.18, 0, 
total, 14266.59, 14658.56, 391.969999999999, 


