Category, old, new, diff
Date, 20100804, 20100813, 20100813, 

# Accessions, 12100, 12269, 169, 

# Samples, 653, 722, 69, 

# Samples greater than 10Gb, 552, 624, 72, 

Population in Gb, 
ASW, 718.71951148, 1002.38898835, 283.66947687, 
CEU, 2274.636028425, 2296.370296035, 21.7342676100002, 
CHB, 1181.189558924, 1470.005835934, 288.81627701, 
CHS, 344.816308004, 348.304786844, 3.48847883999997, 
FIN, 257.74405794, 478.475237374, 220.731179434, 
GBR, 607.584175963, 936.409440243, 328.82526428, 
JPT, 1996.562651042, 2303.477501235, 306.914850193, 
LWK, 1335.975379808, 1675.840008258, 339.86462845, 
MXL, 318.30608471, 896.552580102, 578.246495392, 
PUR, 37.55218914, 37.55218914, 0, 
TSI, 1401.407245013, 1421.600415327, 20.1931703140001, 
YRI, 1494.629669996, 1922.505034205, 427.875364209, 
total, 11969.122860445, 14789.482313047, 2820.359452602, 


Platform in Gb, 
ABI_SOLID, 1380.394856275, 3930.6156429, 2550.220786625, 
ILLUMINA, 10392.134867585, 10662.273533562, 270.138665977, 
LS454, 196.593136585, 196.593136585, 0, 
total, 11969.122860445, 14789.482313047, 2820.359452602, 


Center in Gb, 
454MSC, 64.029026829, 64.029026829, 0, 
ABI, 207.9323201, 207.9323201, 0, 
BCM, 974.939059242, 3525.159845867, 2550.220786625, 
BGI, 709.908428965, 709.908428965, 0, 
BI, 4258.623946301, 4451.62168493, 192.997738629, 
ILLUMINA, 537.39793315, 537.39793315, 0, 
MPIMG, 485.297612691, 508.045243467, 22.747630776, 
SC, 4297.811307451, 4352.204604023, 54.3932965719996, 
WUGSC, 433.183225716, 433.183225716, 0, 
total, 11969.122860445, 14789.482313047, 2820.359452602, 


