Category, old, new, diff
Date, 20100817, 20100901, 20100913, 

# Accessions, 12592, 12984, 392, 

# Samples, 812, 914, 102, 

# Samples greater than 10Gb, 700, 818, 118, 

Population in Gb, 
ASW, 1002.38898835, 1380.455431036, 378.066442686, 
CEU, 2296.370296035, 2292.640218209, -3.73007782600007, 
CHB, 1470.005835934, 1470.005835934, 0, 
CHS, 748.221102202, 751.667831266, 3.44672906400001, 
CLM, 2.5291898, 357.9809312, 355.4517414, 
FIN, 788.47020306, 846.112760748, 57.642557688, 
GBR, 1173.224382702, 1286.579238154, 113.354855452, 
IBS, , 163.83203015, 163.83203015, 
JPT, 2377.729522313, 2415.285639742, 37.5561174290001, 
LWK, 1845.052862408, 2001.900080542, 156.847218134, 
MXL, 937.997718217, 1360.444010092, 422.446291875, 
PUR, 37.55218914, 71.415494592, 33.863305452, 
TSI, 1452.519806203, 1458.911890639, 6.392084436, 
YRI, 1925.961372245, 2078.567321226, 152.605948981, 
total, 16058.023468609, 17935.79871353, 1877.775244921, 


Platform in Gb, 
ABI_SOLID, 4046.2367736, 4323.35392005, 277.11714645, 
ILLUMINA, 11815.193558424, 13414.416090893, 1599.222532469, 
LS454, 196.593136585, 198.028702587, 1.435566002, 
total, 16058.023468609, 17935.79871353, 1877.775244921, 


Center in Gb, 
454MSC, 64.029026829, 64.029026829, 0, 
ABI, 207.9323201, 207.9323201, 0, 
BCM, 3640.780976567, 3918.018631727, 277.23765516, 
BGI, 1656.634652468, 1656.634652468, 0, 
BI, 4451.62168493, 4511.53541832, 59.9137333899998, 
ILLUMINA, 621.481209282, 621.481209282, 0, 
MPIMG, 508.045243467, 485.748273765, -22.296969702, 
SC, 4466.514322935, 4589.448782283, 122.934459348, 
WUGSC, 440.984032031, 1880.970398756, 1439.986366725, 
total, 16058.023468609, 17935.79871353, 1877.775244921, 


