Category, old, new, diff
Date, 20100311, 20100429, 20100601, 

# Accessions, 11309, 11571, 262, 

# Samples, 364, 402, 38, 

# Samples greater than 4x, 262, 302, 40, 

Population in Gb, 
ASW,  276,  305, 29, 
CEU, 1945, 2279, 334, 
CHB,  271,  509, 238, 
GBR, ,   36, 36, 
JPT, 1402, 1475, 73, 
LWK,  252,  301, 49, 
MXL, ,  126, 126, 
TSI, 1122, 1124, 2, 
YRI, 1461, 1477, 16, 
total, 6729, 7632, 903, 


Platform in Gb, 
ABI_SOLID,  860, 1181, 321, 
ILLUMINA, 5672, 6255, 583, 
LS454,  197,  197, 0, 
total, 6729, 7632, 903, 


Center in Gb, 
454MSC,   64,   64, 0, 
ABI,  289,  289, 0, 
BCM,  495,  703, 208, 
BGI,  271,  300, 29, 
BI, 2743, 3011, 268, 
ILLUMINA,  105,  105, 0, 
MPIMG,  307,  522, 215, 
SC, 2015, 2015, 0, 
UNKNOWN, ,  184, 184, 
WUGSC,  439,  439, 0, 
total, 6729, 7632, 903, 


