Category, old, new, diff
Date, 20100611, 20100714, 20100714, 

# Accessions, 12438, 12256, -182, 

# Samples, 543, 615, 72, 

# Samples greater than 4x, 439, 461, 22, 

Population in Gb, 
ASW,  645,  698, 53, 
CEU, 2368, 2326, -42, 
CHB, 1135, 1155, 20, 
CHS,  168,  230, 62, 
FIN, ,   99, 99, 
GBR,  141,  301, 160, 
JPT, 1841, 1982, 141, 
LWK, 1087, 1266, 179, 
MXL,  216,  216, 0, 
PUR, ,   28, 28, 
TSI, 1257, 1357, 100, 
YRI, 1534, 1534, 0, 
total, 10392, 11192, 800, 


Platform in Gb, 
ABI_SOLID, 1490, 1440, -50, 
ILLUMINA, 8706, 9555, 849, 
LS454,  197,  197, 0, 
total, 10392, 11192, 800, 


Center in Gb, 
454MSC,   64,   64, 0, 
ABI,  290,  240, -50, 
BCM, 1007, 1007, 0, 
BGI,  659,  659, 0, 
BI, 3863, 3916, 53, 
ILLUMINA,  521,  521, 0, 
MPIMG,  525,  525, 0, 
SC, 3024, 3821, 797, 
WUGSC,  439,  439, 0, 
total, 10392, 11192, 800, 


