Category, old, new, diff
Date, 20100710, 20100804, 20100804, 

# Accessions, 12256, 12100, -156, 

# Samples, 615, 653, 38, 

# Samples greater than 10Gb, 494, 552, 58, 

Population in Gb, 
ASW, 697.551555696, 718.71951148, 21.167955784, 
CEU, 2325.744760242, 2274.636028425, -51.1087318170003, 
CHB, 1154.691342044, 1181.189558924, 26.49821688, 
CHS, 230.400269846, 344.816308004, 114.416038158, 
FIN, 99.129971448, 257.74405794, 158.614086492, 
GBR, 301.143409322, 607.584175963, 306.440766641, 
JPT, 1982.25267738, 1996.562651042, 14.3099736619999, 
LWK, 1266.082631935, 1335.975379808, 69.892747873, 
MXL, 215.639534626, 318.30608471, 102.666550084, 
PUR, 27.515574072, 37.55218914, 10.036615068, 
TSI, 1357.335566203, 1401.407245013, 44.0716788099999, 
YRI, 1534.432564141, 1494.629669996, -39.802894145, 
total, 11191.919856955, 11969.122860445, 777.20300349, 


Platform in Gb, 
ABI_SOLID, 1439.869674745, 1380.394856275, -59.4748184700002, 
ILLUMINA, 9555.457045625, 10392.134867585, 836.67782196, 
LS454, 196.593136585, 196.593136585, 0, 
total, 11191.919856955, 11969.122860445, 777.20300349, 


Center in Gb, 
454MSC, 64.029026829, 64.029026829, 0, 
ABI, 240.1853919, 207.9323201, -32.2530718, 
BCM, 1007.254621367, 974.939059242, -32.315562125, 
BGI, 659.179521115, 709.908428965, 50.72890785, 
BI, 3915.688910344, 4258.623946301, 342.935035957, 
ILLUMINA, 520.927194873, 537.39793315, 16.470738277, 
MPIMG, 525.100506836, 485.297612691, -39.802894145, 
SC, 3820.539259725, 4297.811307451, 477.272047726, 
WUGSC, 439.015423966, 433.183225716, -5.83219825000003, 
total, 11191.919856955, 11969.122860445, 777.20300349, 


