Category, old, new, diff
Date, 20100901, 20100917, 20100917, 

# Accessions, 12984, 13184, 200, 

# Samples, 914, 964, 50, 

# Samples greater than 10Gb, 818, 892, 74, 

Population in Gb, 
ASW, 1380.455431036, 1412.466094172, 32.0106631360002, 
CEU, 2292.640218209, 2297.230915313, 4.5906971039999, 
CHB, 1470.005835934, 1470.005835934, 0, 
CHS, 751.667831266, 828.346264921, 76.678433655, 
CLM, 357.9809312, 765.127835314, 407.146904114, 
FIN, 846.112760748, 1279.169788559, 433.057027811, 
GBR, 1286.579238154, 1527.034734354, 240.4554962, 
IBS, 163.83203015, 369.60903205, 205.7770019, 
JPT, 2415.285639742, 2415.285639742, 0, 
LWK, 2001.900080542, 2047.249780442, 45.3496998999999, 
MXL, 1360.444010092, 1482.159270464, 121.715260372, 
PUR, 71.415494592, 345.973604324, 274.558109732, 
TSI, 1458.911890639, 1471.514780863, 12.602890224, 
YRI, 2078.567321226, 2078.567321226, 0, 
total, 17935.79871353, 19789.740897678, 1853.942184148, 


Platform in Gb, 
ABI_SOLID, 4323.35392005, 4850.66604695, 527.3121269, 
ILLUMINA, 13414.416090893, 14741.046148141, 1326.630057248, 
LS454, 198.028702587, 198.028702587, 0, 
total, 17935.79871353, 19789.740897678, 1853.942184148, 


Center in Gb, 
454MSC, 64.029026829, 64.029026829, 0, 
ABI, 207.9323201, 207.9323201, 0, 
BCM, 3918.018631727, 4445.330758627, 527.3121269, 
BGI, 1656.634652468, 2570.982097946, 914.347445478, 
BI, 4511.53541832, 4569.647373028, 58.1119547080007, 
ILLUMINA, 621.481209282, 707.092988396, 85.611779114, 
MPIMG, 485.748273765, 485.748273765, 0, 
SC, 4589.448782283, 4724.363422755, 134.914640472, 
WUGSC, 1880.970398756, 2014.614636232, 133.644237476, 
total, 17935.79871353, 19789.740897678, 1853.942184148, 


