Category, old, new, diff
Date, 20110506, 20110521, 20110521, 

# Accessions, 9618, 9746, 128, 

# Samples, 1021, 1147, 126, 

# Samples greater than 10Gb, 689, 797, 108, 

Population in Gb, 
ASW, 642.60, 643.17, 0.569999999999936, 
CEU, 1116.13, 1362.75, 246.62, 
CHB, 981.59, 1217.41, 235.82, 
CHS, 838.91, 1013.19, 174.28, 
CLM, 728.29, 728.94, 0.650000000000091, 
FIN, 965.61, 1006.96, 41.35, 
GBR, 1196.01, 1233.04, 37.03, 
JPT, 1215.58, 1352.33, 136.75, 
LWK, 1374.00, 1383.63, 9.63000000000011, 
MXL, 736.42, 736.97, 0.550000000000068, 
PUR, 741.84, 890.85, 149.01, 
TSI, 1086.12, 1315.59, 229.47, 
YRI, 1160.29, 1371.28, 210.99, 
total, 12783.38, 14256.10, 1472.72, 


Platform in Gb, 
ABI_SOLID, 4817.45, 4841.87, 24.4200000000001, 
ILLUMINA, 7965.93, 9414.23, 1448.3, 
total, 12783.38, 14256.10, 1472.72, 


Center in Gb, 
BCM, 4817.45, 4841.87, 24.4200000000001, 
BGI, 1926.73, 3367.83, 1441.1, 
BI, 4058.99, 4060.71, 1.72000000000025, 
WUGSC, 1980.21, 1985.69, 5.48000000000002, 
total, 12783.38, 14256.10, 1472.72, 


