Category, old, new, diff
Date, 20100517, 20100606, 20100609, 

# Accessions, 12170, 12357, 187, 

# Samples, 499, 533, 34, 

# Samples greater than 4x, 396, 434, 38, 

Population in Gb, 
ASW,  645,  645, 0, 
CEU, 2365, 2329, -36, 
CHB, 1061, 1127, 66, 
CHS, ,  117, 117, 
GBR,  141,  141, 0, 
JPT, 1778, 1805, 27, 
LWK,  660, 1087, 427, 
MXL,  210,  216, 6, 
TSI, 1159, 1252, 93, 
YRI, 1535, 1535, 0, 
total, 9554, 10254, 700, 


Platform in Gb, 
ABI_SOLID, 1372, 1490, 118, 
ILLUMINA, 7985, 8568, 583, 
LS454,  197,  196, -1, 
total, 9554, 10254, 700, 


Center in Gb, 
454MSC,   64,   64, 0, 
ABI,  289,  290, 1, 
BCM,  800, 1007, 207, 
BGI,  478,  659, 181, 
BI, 3534, 3863, 329, 
ILLUMINA,  105,  521, 416, 
MPIMG,  523,  499, -24, 
SC, 2791, 2913, 122, 
WUGSC,  439,  439, 0, 
total, 9554, 10254, 700, 


