Category, old, new, diff
Date, 20120522, 20121211, 20121210, 

# Accessions, 13791, 16955, 3164, 

# Samples, 1713, 1877, 164, 

# Samples greater than 10Gb, 1208, 1219, 11, 

Population in Gb, 
ACB, 958.77, 1019.31, 60.54, 
ASW, 747.05, 747.05, 0, 
CDX, 1225.60, 1225.60, 0, 
CEU, 1389.36, 1396.25, 6.8900000000001, 
CHB, 1250.33, 1258.89, 8.56000000000017, 
CHS, 1018.95, 1110.92, 91.97, 
CLM, 759.41, 759.41, 0, 
ESN, , 158.00, 158, 
FIN, 1026.41, 1035.49, 9.07999999999993, 
GBR, 1307.20, 1313.84, 6.63999999999987, 
GIH, 1176.57, 1198.13, 21.5600000000002, 
GWD, , 575.57, 575.57, 
IBS, 1674.01, 1674.01, 0, 
JPT, 1352.43, 1352.43, 0, 
KHV, 1552.69, 1600.33, 47.6399999999999, 
LWK, 1511.00, 1563.65, 52.6500000000001, 
MSL, , 118.48, 118.48, 
MXL, 751.74, 759.09, 7.35000000000002, 
PEL, 1198.16, 1226.81, 28.6499999999999, 
PJL, , 224.95, 224.95, 
PUR, 983.63, 983.63, 0, 
TSI, 1323.13, 1331.67, 8.53999999999996, 
YRI, 1361.26, 1361.26, 0, 
total, 22567.70, 23994.79, 1427.09, 


Platform in Gb, 
ABI_SOLID, 7835.49, 7949.63, 114.14, 
ILLUMINA, 14732.21, 16045.15, 1312.94, 
total, 22567.70, 23994.79, 1427.09, 


Center in Gb, 
BCM, 7835.49, 7949.63, 114.14, 
BGI, 5520.51, 5529.07, 8.55999999999949, 
BI, 5576.59, 6858.28, 1281.69, 
WUGSC, 3635.11, 3657.80, 22.6900000000001, 
total, 22567.70, 23994.79, 1427.09, 


