Category, old, new, diff
Date, 20111114, 20120130, 20120130, 

# Accessions, 12411, 13605, 1194, 

# Samples, 1567, 1715, 148, 

# Samples greater than 10Gb, 1113, 1210, 97, 

Population in Gb, 
ACB, 359.54, 808.46, 448.92, 
ASW, 731.59, 747.21, 15.62, 
CDX, 879.73, 1244.48, 364.75, 
CEU, 1389.36, 1389.36, 0, 
CHB, 1251.34, 1259.12, 7.77999999999997, 
CHS, 1018.95, 1018.95, 0, 
CLM, 739.57, 739.57, 0, 
FIN, 1035.49, 1035.49, 0, 
GBR, 1270.71, 1307.20, 36.49, 
GIH, 709.28, 1117.62, 408.34, 
IBS, 1398.22, 1522.78, 124.56, 
JPT, 1368.90, 1368.90, 0, 
KHV, 1225.04, 1491.31, 266.27, 
LWK, 1511.00, 1511.00, 0, 
MXL, 736.97, 751.74, 14.77, 
PEL, 1039.24, 1180.50, 141.26, 
PUR, 983.63, 983.63, 0, 
TSI, 1296.71, 1316.58, 19.8699999999999, 
YRI, 1371.71, 1371.71, 0, 
total, 20316.96, 22165.61, 1848.65, 


Platform in Gb, 
ABI_SOLID, 6066.70, 7824.27, 1757.57, 
ILLUMINA, 14250.27, 14341.33, 91.0599999999995, 
total, 20316.96, 22165.61, 1848.65, 


Center in Gb, 
BCM, 6066.70, 7824.27, 1757.57, 
BGI, 5547.95, 5547.95, 0, 
BI, 5061.50, 5096.40, 34.8999999999996, 
WUGSC, 3640.82, 3696.99, 56.1699999999996, 
total, 20316.96, 22165.61, 1848.65, 


